user,activity,posture,AVGNN,SDNN,MeanHR,MinHR,MaxHR,RMSSD,pNNxx,TINN,powerVLF,powerLF,powerHF,ratioHFLF
2,household-chores,stand,723.87,52.161,82.887,69.865,93.4,29.301,7.0218,231,23.333,80,15,1.9354
2,household-chores,stand,688.5,61.671,87.147,68.95,101.08,21.113,4.3678,296,10,46.667,19.333,8.1343
2,household-chores,stand,652.66,53.623,91.931,76.22,106.27,19.561,3.268,218,33.333,96.667,15.333,8.8992
2,household-chores,stand,660.06,48.322,90.902,74.59,108.19,18.522,1.3245,216,10,76.667,17.667,3.3452
2,leisure-passive,sit,823.22,77.332,72.884,63.385,92.138,47.651,21.212,348,23.333,43.333,31.333,1.416
2,leisure-passive,sit,839.2,58.347,71.497,64.655,90.744,52.566,36.134,301,16.667,12,33.667,72.016
2,leisure-passive,sit,834.01,68.865,71.942,62.854,91.408,42.819,20.334,336,33.333,40,31,1.3707
2,leisure-passive,sit,798.71,57.569,75.121,64.935,95.147,39.59,19.786,277,20,56.667,31.667,81.466
2,leisure-passive,sit,807.64,76.322,74.29,63.304,100,38.589,18.817,367,66.667,40,30,1.4866
2,leisure-passive,sit,848.93,51.385,70.678,63.506,81.699,27.74,5.6818,209,20,12.667,30.667,1.4618
2,leisure-passive,sit,755.76,72.796,79.391,68.571,102.04,31.835,8.6076,311,13.333,40,31.667,1.5261
2,leisure-passive,sit,799.54,71.707,75.043,65.905,98.135,37.812,16.845,311,30,50,29.667,3.4225
2,leisure-passive,sit,802.29,109.66,74.786,63.952,148.18,42.232,12.129,540,23.333,50,15.667,2.1381
2,leisure-passive,sit,761.21,92.847,78.822,66.123,105.6,43.236,13.486,487,10,43.333,15.667,3.0512
2,leisure-passive,sit,727.17,76.295,82.511,68.353,112.78,32.767,9.2024,361,16.667,46.667,16,2.9779
2,leisure-passive,sit,784.11,94.274,76.52,62.801,117.83,32.743,8.6614,372,10,50,15.333,8.2471
2,leisure-passive,sit,801.91,70.116,74.821,64.795,100.23,35.083,10.724,303,66.667,43.333,17.667,1.8762
2,leisure-passive,sit,775.67,114.85,77.352,63.871,112.39,52.844,23.896,523,66.667,53.333,16.667,1.8735
2,leisure-passive,sit,847.19,93.679,70.822,61.025,97.975,39.318,11.681,364,66.667,83.333,16.333,2.9991
2,leisure-passive,sit,781.31,149.8,76.794,61.112,125.37,41.829,16.667,511,33.333,11.333,16,2.2138
2,leisure-passive,sit,848.88,104.99,70.681,60.084,94.103,48.544,18.75,484,33.333,60,15,2.5683
2,leisure-passive,sit,901.79,80.282,66.534,58.731,95.847,41.889,15.663,372,33.333,40,24.667,1.8329
2,leisure-passive,sit,890.6,109.45,67.37,55.107,93.926,49.734,20.536,422,16.667,40,24.667,1.4209
2,leisure-passive,sit,711.34,73.435,84.348,63.198,101.9,31.628,4.9881,368,33.333,10,15,6.1116
2,leisure-passive,sit,805.65,136.97,74.474,58.027,102.08,56.465,22.642,546,33.333,10,28.333,75.024
2,leisure-passive,sit,719.76,68.88,83.361,64.516,96.556,27.696,6.9712,304,33.333,86.667,15,3.1153
2,leisure-passive,sit,704.72,45.691,85.141,72.516,95.694,27.171,7.0755,215,26.667,13.333,16.333,1.1135
2,leisure-passive,sit,651.34,45.325,92.118,77.6,106.12,15.793,86.957,224,10,40,22.667,1.4052
2,leisure-passive,sit,756.52,86.668,79.311,63.843,97.688,32.175,11.392,360,66.667,10.333,19,4.2902
2,leisure-passive,sit,728.1,44.009,82.406,73.873,102.08,35.674,7.2993,316,40,40,27,1.4005
2,leisure-passive,sit,716.52,69.499,83.738,72.71,114.37,25.536,5.0239,284,33.333,43.333,22.667,2.9088
2,leisure-passive,sit,661.32,42.726,90.728,76.492,104.42,20.74,3.0905,199,33.333,10,15,4.1036
2,leisure-passive,sit,735.75,67.378,81.549,65.531,100.84,37.075,15.025,349,23.333,46.667,37.333,2.0812
2,leisure-passive,sit,699.94,97.441,85.722,67.507,110.91,23.812,5.1522,395,33.333,60,15.667,3.5186
2,leisure-passive,sit,723.81,101.64,82.894,67.628,111.61,43.34,15.459,474,33.333,14,18.667,1.4349
2,leisure-passive,sit,759.5,45.169,78.999,71.497,91.631,29.484,6.8528,210,10,10,33.333,2.1707
2,leisure-passive,sit,727.07,43.415,82.523,74.239,102.08,34.477,5.5825,308,16.667,90,16.333,1.8033
2,leisure-passive,sit,737.45,47.069,81.361,72.71,97.72,24.485,5.9113,221,13.333,40,15,1.9077
